GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US00601,00601,ZCTA5 00601,17982,287,16956,437,102,73,14,17,0,21,0,21,846,311,64,55,23,20,41,44
8600000US00602,00602,ZCTA5 00602,40260,167,23144,1393,693,268,8,13,72,90,0,28,1545,482,14798,1358,172,127,14626,1349
8600000US00603,00603,ZCTA5 00603,52408,810,36177,1270,2057,440,76,53,655,323,0,31,5642,767,7801,929,290,199,7511,890
8600000US00606,00606,ZCTA5 00606,6331,293,4399,378,151,118,0,19,0,19,0,19,1655,372,126,123,35,57,91,116
8600000US00610,00610,ZCTA5 00610,28328,205,17791,1255,950,392,0,25,26,47,0,25,6206,977,3355,749,88,68,3267,738
8600000US00612,00612,ZCTA5 00612,64816,1468,53756,1517,3252,712,331,214,808,274,0,31,4792,763,1877,455,670,233,1207,416
8600000US00616,00616,ZCTA5 00616,10707,1074,10088,1086,224,96,31,39,0,21,0,21,90,60,274,185,22,26,252,180
8600000US00617,00617,ZCTA5 00617,24793,265,23276,617,539,325,0,25,30,49,0,25,646,407,302,233,26,41,276,230
8600000US00622,00622,ZCTA5 00622,7425,1037,5251,954,104,132,0,19,0,19,0,19,2066,735,4,8,0,19,4,8
8600000US00623,00623,ZCTA5 00623,42955,1037,32402,1469,1515,540,40,37,16,21,0,28,8669,1056,313,267,33,54,280,261
8600000US00624,00624,ZCTA5 00624,24628,407,20830,554,856,277,39,29,46,47,0,25,2224,433,633,300,103,112,530,277
8600000US00627,00627,ZCTA5 00627,33949,*****,28031,940,543,224,32,39,0,28,0,28,5041,898,302,157,122,93,180,128
8600000US00631,00631,ZCTA5 00631,1664,297,1516,291,0,13,0,13,0,13,0,13,148,94,0,13,0,13,0,13
8600000US00637,00637,ZCTA5 00637,24398,144,20606,781,739,254,86,118,0,25,0,25,2409,651,558,252,173,103,385,217
8600000US00638,00638,ZCTA5 00638,18084,260,17295,414,153,114,0,21,0,21,0,21,245,206,391,252,57,72,334,236
8600000US00641,00641,ZCTA5 00641,29516,429,25638,569,545,203,48,55,246,146,0,25,2407,420,632,217,259,182,373,141
8600000US00646,00646,ZCTA5 00646,38396,188,29211,902,5230,784,0,28,29,43,0,28,1077,396,2849,545,143,112,2706,516
8600000US00647,00647,ZCTA5 00647,5740,733,4916,607,124,100,5,9,0,19,0,19,598,369,97,70,26,41,71,55
8600000US00650,00650,ZCTA5 00650,14738,544,13906,579,256,131,0,21,68,79,0,21,409,220,99,132,0,21,99,132
8600000US00652,00652,ZCTA5 00652,3800,707,3443,666,60,59,0,13,23,37,0,13,270,166,4,9,0,13,4,9
8600000US00653,00653,ZCTA5 00653,12514,730,10227,761,435,172,53,54,0,21,0,21,1511,476,288,238,74,53,214,221
8600000US00656,00656,ZCTA5 00656,20414,44,17938,468,621,224,128,118,29,33,0,25,1247,359,451,210,31,32,420,208
8600000US00659,00659,ZCTA5 00659,41578,*****,40209,510,353,176,0,28,124,159,0,28,453,260,439,360,72,66,367,322
8600000US00660,00660,ZCTA5 00660,16845,*****,5853,648,362,124,0,21,70,81,0,21,5710,730,4850,723,233,123,4617,689
8600000US00662,00662,ZCTA5 00662,42499,523,28948,1246,2352,560,176,131,10,18,0,28,9774,1122,1239,504,122,107,1117,491
8600000US00664,00664,ZCTA5 00664,15974,102,14116,512,236,143,0,21,19,27,0,21,690,259,913,365,81,79,832,360
8600000US00667,00667,ZCTA5 00667,24968,179,18519,1003,576,299,46,45,0,25,0,25,4961,913,866,456,403,343,463,289
8600000US00669,00669,ZCTA5 00669,27703,235,25205,618,247,135,9,15,26,56,0,25,1799,476,417,324,10,15,407,324
8600000US00670,00670,ZCTA5 00670,9333,160,7732,466,76,58,15,25,0,19,0,19,1490,441,20,18,9,15,11,18
8600000US00674,00674,ZCTA5 00674,42358,225,36403,794,1905,442,41,40,3,6,0,28,3607,655,399,177,141,99,258,145
8600000US00676,00676,ZCTA5 00676,38999,131,29641,1281,1095,388,82,135,19,32,19,33,5770,1162,2373,756,92,76,2281,746
8600000US00677,00677,ZCTA5 00677,14855,23,8334,755,222,141,0,21,28,33,0,21,311,188,5960,713,28,33,5932,713
8600000US00678,00678,ZCTA5 00678,26815,474,19410,878,1322,459,52,49,34,53,0,25,5628,717,369,260,142,197,227,162
8600000US00680,00680,ZCTA5 00680,52431,1454,26668,1441,1903,416,78,73,19,19,0,31,15365,1380,8398,1096,553,242,7845,1079
8600000US00682,00682,ZCTA5 00682,32431,1447,14495,1239,1433,453,38,61,25,29,0,28,10985,1300,5455,813,361,173,5094,762
8600000US00683,00683,ZCTA5 00683,32569,430,26950,800,826,350,44,49,0,28,0,28,4458,793,291,162,149,102,142,128
8600000US00685,00685,ZCTA5 00685,40800,415,35270,840,747,262,0,28,28,36,0,28,4131,747,624,342,103,85,521,332
8600000US00687,00687,ZCTA5 00687,32294,*****,28404,842,403,215,0,28,31,49,0,28,1307,450,2149,593,127,132,2022,588
8600000US00688,00688,ZCTA5 00688,12870,1028,11830,984,279,108,2,3,10,14,0,21,644,312,105,61,52,29,53,48
8600000US00690,00690,ZCTA5 00690,5565,810,3190,693,165,171,0,19,27,36,0,19,711,389,1472,636,0,19,1472,636
8600000US00692,00692,ZCTA5 00692,36777,650,28435,1284,4001,689,45,50,87,69,0,28,1714,454,2495,647,118,105,2377,646
8600000US00693,00693,ZCTA5 00693,58615,659,53114,1110,1959,485,170,194,62,71,33,52,2301,624,976,366,371,255,605,281
8600000US00694,00694,ZCTA5 00694,77,68,77,68,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
8600000US00698,00698,ZCTA5 00698,39395,151,34666,832,1201,359,96,138,37,37,0,28,2269,648,1126,371,325,220,801,286
8600000US00703,00703,ZCTA5 00703,28165,503,23552,792,1408,383,71,114,1,2,0,25,833,299,2300,585,61,47,2239,585
8600000US00704,00704,ZCTA5 00704,8007,917,4925,674,929,437,36,59,0,19,0,19,1949,450,168,204,22,26,146,200
8600000US00705,00705,ZCTA5 00705,24717,235,20488,701,1793,479,0,25,32,51,0,25,2202,471,202,110,37,33,165,102
8600000US00707,00707,ZCTA5 00707,11701,*****,5655,759,4843,699,5,9,0,21,0,21,643,252,555,267,134,125,421,230
8600000US00714,00714,ZCTA5 00714,18988,48,10495,832,4703,734,0,21,0,21,0,21,3209,724,581,291,92,76,489,300
8600000US00715,00715,ZCTA5 00715,3586,609,1773,470,715,349,9,15,0,13,0,13,220,171,869,346,6,9,863,346
8600000US00716,00716,ZCTA5 00716,30876,1437,23289,1181,1878,369,0,28,9,13,0,28,1077,301,4623,762,143,94,4480,757
8600000US00717,00717,ZCTA5 00717,17704,1030,13392,1036,931,276,22,34,75,120,0,21,561,243,2723,603,96,48,2627,601
8600000US00718,00718,ZCTA5 00718,26547,267,16996,1034,1073,434,0,25,208,185,0,25,7754,1019,516,350,42,64,474,346
8600000US00719,00719,ZCTA5 00719,30588,406,18413,1226,1816,598,11,17,8,16,0,28,1711,530,8629,1377,339,342,8290,1420
8600000US00720,00720,ZCTA5 00720,22676,190,18438,747,520,242,0,25,0,25,0,25,1709,483,2009,528,42,65,1967,521
8600000US00723,00723,ZCTA5 00723,18441,*****,10774,833,4933,665,237,170,0,21,12,19,1957,644,528,305,25,23,503,300
8600000US00725,00725,ZCTA5 00725,86276,2086,64429,2339,7941,1040,225,172,441,248,0,31,9619,1123,3621,845,471,166,3150,821
8600000US00727,00727,ZCTA5 00727,56503,1982,44312,1902,3919,682,72,71,113,95,0,31,6182,958,1905,669,338,165,1567,629
8600000US00728,00728,ZCTA5 00728,41337,1975,33858,1936,1913,378,111,100,51,32,0,28,3522,659,1882,476,162,110,1720,461
8600000US00729,00729,ZCTA5 00729,53439,728,26593,1257,7090,942,26,33,179,123,0,31,19375,1238,176,78,22,20,154,79
8600000US00730,00730,ZCTA5 00730,34965,1412,26046,1240,2307,478,37,37,17,34,0,28,1485,416,5073,988,209,89,4864,963
8600000US00731,00731,ZCTA5 00731,14382,1091,11922,1080,280,156,23,26,0,21,0,21,805,244,1352,487,76,76,1276,455
8600000US00735,00735,ZCTA5 00735,13063,267,7872,609,927,263,0,21,147,147,0,21,3907,631,210,137,42,47,168,112
8600000US00736,00736,ZCTA5 00736,50335,747,38468,1179,1873,394,9,13,196,129,0,31,8883,1070,906,281,156,98,750,270
8600000US00738,00738,ZCTA5 00738,33205,389,19819,912,3061,442,42,36,173,113,0,28,9206,786,904,274,379,163,525,234
8600000US00739,00739,ZCTA5 00739,37970,646,29301,943,1738,361,88,73,77,88,0,28,5760,679,1006,354,69,60,937,348
8600000US00740,00740,ZCTA5 00740,1515,389,811,282,163,133,12,20,8,12,0,13,521,203,0,13,0,13,0,13
8600000US00741,00741,ZCTA5 00741,5514,742,2421,469,1219,417,53,86,0,19,0,19,1700,552,121,105,39,60,82,89
8600000US00745,00745,ZCTA5 00745,53797,295,29015,1362,7216,978,29,24,180,96,0,31,15696,1318,1661,550,326,173,1335,511
8600000US00751,00751,ZCTA5 00751,22777,873,12328,934,3280,672,22,35,120,137,0,25,6514,871,513,302,69,41,444,295
8600000US00754,00754,ZCTA5 00754,39651,96,32304,905,2905,485,47,74,0,28,0,28,733,265,3662,669,131,84,3531,658
8600000US00757,00757,ZCTA5 00757,22913,*****,13663,785,2971,594,22,33,0,25,0,25,5982,716,275,152,55,55,220,138
8600000US00765,00765,ZCTA5 00765,8993,103,4103,613,1020,548,57,90,131,141,0,19,3580,633,102,85,0,19,102,85
