GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With a disability:,Margin of Error; Total: - With a disability:,Estimate; Total: - With a disability: - Male,Margin of Error; Total: - With a disability: - Male,Estimate; Total: - With a disability: - Female,Margin of Error; Total: - With a disability: - Female,Estimate; Total: - No disability:,Margin of Error; Total: - No disability:,Estimate; Total: - No disability: - Male,Margin of Error; Total: - No disability: - Male,Estimate; Total: - No disability: - Female,Margin of Error; Total: - No disability: - Female
8600000US00601,00601,ZCTA5 00601,16147,1486,14875,8157,13000,5455,19154,5959,16157,1435,17201,1415,14111,1479
8600000US00602,00602,ZCTA5 00602,12832,833,13189,2574,11951,3495,14069,2298,12791,907,11961,1055,13750,859
8600000US00603,00603,ZCTA5 00603,14838,800,15877,2625,16324,3591,14806,5389,14727,831,15310,1022,14008,1252
8600000US00610,00610,ZCTA5 00610,14813,674,14606,3077,12571,2082,18078,3305,14834,675,14802,931,14866,1034
8600000US00612,00612,ZCTA5 00612,17257,731,16719,4452,15257,7916,18500,11115,17278,748,16791,887,18010,1374
8600000US00616,00616,ZCTA5 00616,15414,1216,10147,8581,5785,3692,16339,15614,15786,1221,16032,1936,15615,1290
8600000US00617,00617,ZCTA5 00617,16768,1191,17475,2401,15625,4230,18363,3041,16583,1375,16911,1898,16209,1949
8600000US00622,00622,ZCTA5 00622,19928,2973,16579,15020,-,**,-,**,20058,3109,21154,4980,19389,2495
8600000US00624,00624,ZCTA5 00624,14095,1144,12882,4700,11042,9023,14231,4303,14177,1202,14236,1358,14074,2109
8600000US00627,00627,ZCTA5 00627,15236,883,13125,1872,13320,2398,12853,2723,15462,947,14956,1010,17011,2078
