ZCTA5,STATE,PLACE,CLASSFP,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,PLPOP,PLHU,PLAREA,PLAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,PLPOPPCT,PLHUPCT,PLAREAPCT,PLAREALANDPCT
00601,72,00358,U1,7200358,4406,1968,1942319,1942319,18570,7744,167459085,166659789,4406,1968,1942319,1942319,23.73,25.41,1.16,1.17,100,100,100,100
00602,72,00616,U1,7200616,3212,1648,955285,955285,41520,18073,83734431,79288158,3212,1648,955285,955285,7.74,9.12,1.14,1.2,100,100,100,100
00602,72,47873,U1,7247873,2886,1205,4238649,4238649,41520,18073,83734431,79288158,2886,1205,4238649,4238649,6.95,6.67,5.06,5.35,100,100,100,100
00603,72,00745,U1,7200745,13310,7479,6568015,6535128,54689,25653,82063867,81880442,13310,7479,8053806,6535128,24.34,29.15,8,7.98,100,100,81.55,100
00603,72,09689,U1,7209689,3334,1520,1299789,1299789,54689,25653,82063867,81880442,3334,1520,1299789,1299789,6.1,5.93,1.58,1.59,100,100,100,100
00603,72,68599,U1,7268599,1351,631,734224,734224,54689,25653,82063867,81880442,1351,631,734224,734224,2.47,2.46,0.89,0.9,100,100,100,100
00606,72,51270,U1,7251270,868,446,421867,421867,6615,2877,109592548,109580061,868,446,421867,421867,13.12,15.5,0.38,0.38,100,100,100,100
00610,72,02680,U1,7202680,5075,2430,2074466,2074064,29016,12618,97193468,93021467,5075,2430,2074466,2074064,17.49,19.26,2.13,2.23,100,100,100,100
00610,72,27263,U1,7227263,1270,548,1103622,1075887,29016,12618,97193468,93021467,1270,548,1105676,1077473,4.38,4.34,1.14,1.16,100,100,99.81,99.85
00610,72,42068,U1,7242068,1900,944,2833424,2816938,29016,12618,97193468,93021467,1900,944,2833424,2816938,6.55,7.48,2.92,3.03,100,100,100,100
00610,72,43702,U1,7243702,2049,835,641412,641412,29016,12618,97193468,93021467,2049,835,641412,641412,7.06,6.62,0.66,0.69,100,100,100,100
00612,72,03024,U1,7203024,1203,596,595398,595398,67010,30992,184915406,175106243,1203,596,595398,595398,1.8,1.92,0.32,0.34,100,100,100,100
00612,72,03368,U1,7203368,44191,20777,43484218,39768313,67010,30992,184915406,175106243,44191,20777,46509237,40226985,65.95,67.04,23.52,22.71,100,100,93.5,98.86
